So here we have a video of the vibrating vocal folds .;Ở đây chúng ta có một đoạn phim của các giây thanh quản đang rung
Retrieved 15 March 2018.hyoscine butylbromide injection should be used with caution in patients with cardiac disease Hanks, Geoffrey (2011).;Truy cập ngày 15 tháng 3 năm 2018.hyoscine butylbromide injection should be used with caution in patients with cardiac disease ^ Hanks, Geoffrey (2011).
4. Other scopes of application of List of OTC drugs shall be guided in the relevant documents;4. Các phạm vi áp dụng khác của Danh mục thuốc không kê đơn sẽ được hướng dẫn cụ thể trong các văn bản liên quan.
Doctors take an oath not to harm anyone.;Những vị bác sĩ tuyên thệ sẽ không làm hại bất kỳ ai.
The anesthesiologist would " take him down " at night and " bring him back up " in the morning during the HIStory tour of 1996 and 1997.;Bác sĩ gây tê " sẽ đưa cậu ấy xuống " vào ban đêm và " mang cậu trở lại " vào buổi sáng trong suốt tour HIStory năm 1996 và 1997.
Hurry up, Dr. Watson, your wife needs you.;Nhanh lên, Dr. Watson, vợ ngài cần ngài đấy.
She had irreversible brain damage .;Não bà bị huỷ hoại không thể thay đổi được .
And I came out of medical school with the impression that if I memorized everything and knew everything , or as much as possible , as close to everything as possible , that it would immunize me against making mistakes .;Và tôi tốt nghiệp trường y với ấn tượng là nếu tôi nhớ hết và biết hết , hay là càng nhiều càng tốt , càng gần ' biết hết ' ' càng tốt , tôi sẽ miễn dịch với vấn đề phạm sai lầm .
I gave her aspirin . I gave her medications to relieve the strain on her heart .;Tôi cho bà uống aspirin . Tôi kê thuốc để giảm hoạt động của tim .
And I 'd like to be able to say to you that my worst mistakes only happened in the first five years of practice as many of my colleagues say , which is total B.S.;Và tôi muốn được nói với các bạn rằng những sai lầm tệ hại nhất của tôi chỉ diễn ra trong năm năm hành nghề đầu tiên như nhiều đồng nghiệp của tôi nói , toàn là rác rưởi .
I gave her medications that we call diuretics , water pills , to get her to pee out the access fluid .;Tôi kê thuốc lợi tiểu để bà đi tiểu bớt dịch thừa .
Two years later I was an attending in the emergency department at a community hospital just north of Toronto , and I saw a 25 year-old man with a sore throat .;Hai năm sau tôi là bác sĩ chính thức ở khoa cấp cứu ở một bệnh viện cộng đồng phía bắc Toronto , và tôi khám một anh thanh niên 25 tuổi bị viêm họng .
And when I listened to her chest with a stethoscope , I could hear crackly sounds on both sides that told me that she was in congestive heart failure .;Và khi tôi nghe lồng ngực của bà bằng ống nghe , tôi có thể nghe thấy tiếng lách tách ở cả hai bên cho thấy là bà bị suy tim do tắc nghẽn .
I gave her aspirin . I gave her medications to relieve the strain on her heart .;Tôi cho bà uống aspirin . Tôi kê thuốc để giảm hoạt động của tim .
Like most adults on the boat , my mother carried a small bottle of poison .;Như hầu hết người lớn trên thuyền , mẹ tôi mang theo một chai thuốc độc nhỏ .
In the United States , the Institute of Medicine pegged it at 100,000 .;Ở Hoa Kì , Viện Y Học đặt ra con số 100000 .
Now that 's why , for instance , antibiotic resistance has evolved .;Bởi vì vậy mà , ví dụ , sự kháng thuốc kháng sinh được hình thành .
If you 're a doctor you can do some good things , but if you 're a caring doctor you can do some other things .;còn nếu bạn là một bác sĩ , bạn có thể làm vài điều tốt nhưng nếu bạn là một bác sĩ tận tâm , bạn có thể làm thêm nhiều điều tốt khác .
You can Google it , but it 's an infection , not of the throat , but of the upper airway , and it can actually cause the airway to close .;Bạn có thể tra bệnh này trên Google , nhưng nó là bệnh nhiễm khuẩn , không phải cổ họng , mà là phần trên của khí quản , và nó có thể dẫn đến tắc khí quản .
I looked at his throat , it was a little bit pink .;Tôi xem cổ họng anh ta , nó hơi hồng hồng .
And fortunately he didn 't die .;Và may mắn là anh bệnh nhân không chết .
Over the next few weeks , I beat myself up and I experienced for the first time the unhealthy shame that exists in our culture of medicine -- where I felt alone , isolated , not feeling the healthy kind of shame that you feel , because you can 't talk about it with your colleagues .;Trong vài tuần tiếp theo , tôi hành hạ bản thân và lần đầu tôi trải nghiệm nỗi hổ thẹn không lành mạnh trong văn hoá y học của chúng ta -- trong nền văn hoá ấy tôi thấy cô đơn , bị cách biệt , không cảm thấy hổ thẹn lành mạnh như người bình thường , vì tôi không thể nói ra với đồng nghiệp tôi .
I think we have to do something about a piece of the culture of medicine that has to change .;Tôi nghĩ ta phải làm gì đó về một " truyền thống " trong y học cần phải thay đổi .
What they need is a redefined medical culture .;Điều họ cần là một văn hoá y học cần xác định lại .
I gave her medications that we call diuretics , water pills , to get her to pee out the access fluid .;Tôi kê thuốc lợi tiểu để bà đi tiểu bớt dịch thừa .
