Abuse thrives only in silence .;Sự ngược đãi chỉ đáng sợ trong im lặng .
Because in the mean time , the German Constitutional Court ruled that the implementation of this E.U. directive into German law was unconstitutional .;Bởi vì tại thời điểm đó , toà án hiến pháp liên bang đã quy định rằng chỉ thị của Uỷ ban châu Âu này không có hiệu lực trong hệ thống hiến pháp của nước Đức.
Because in the summer of 2006 , the E.U. Commission tabled a directive .;Nguyên nhân là do mùa hè năm 2006 , Uỷ ban châu Âu đã đề xuất một chỉ thị chính thức .
I can 't reveal many details [ about ] how I left North Korea , but I only can say that during the ugly years of the famine I was sent to China to live with distant relatives .;Tôi không thể nói cụ thể về việc mình đã trốn khỏi Bắc Triều Tiên như thế nào chỉ có thể nói rằng trong những năm tháng khốn khó vì nạn đói ấy tôi được gửi sang Trung Quốc để sống với một người họ hàng xa .
Almost two years have passed since the Libyan Revolution broke out , inspired by the waves of mass mobilization in both the Tunisian and the Egyptian revolutions .;Gần hai năm đã trôi qua từ khi cuộc Khởi Nghĩa ở Libya nổ ra , được tiếp thêm sinh lực bởi những làn sóng động viên trên diện rộng từ những cuộc khởi nghĩa ở Tunisia và Ai Cập .
So I was living in constant fear that my identity could be revealed , and I would be repatriated to a horrible fate back in North Korea .;Tôi luôn sống trong một nỗi sợ thường trực rằng danh tính của tôi sẽ bị phát hiện , và tôi sẽ bị trả về với cuộc sống cũ ở Bắc Triều Tiên .
North Koreans have to travel incredible distances on the path to freedom .;Người Bắc Triều Tiên đã phải vượt qua những khoảng cách dường như không tưởng để đến với tự do .
Aware of the devastation and the challenges , I was keen among many other women to rebuild the Libyan civil society , calling for an inclusive and just transition to democracy and national reconciliation .;Nhận thức được sự huỷ hoại và những thách thức , tôi cũng như bao nhiêu phụ nữ khác , hăm hở tái xây dựng xã hội dân sự của Libya , kêu gọi sự toàn diện và quá trình chuyển tiếp sang nền dân chủ và hoà giải quốc gia .
They have shown an exemplary bravery in confronting the brutal dictatorship of Gaddafi .;Họ đã tỏ rõ một tấm gương về lòng quả cảm trong việc đối đầu với chế độ độc tài tàn bạo của Gaddafi .
The kind stranger symbolized new hope for me and the North Korean people when we needed it most , and he showed me the kindness of strangers and the support of the international community are truly the rays of hope we North Korean people need .;Lòng tốt từ người đàn ông xa lạ trở thành biểu tượng hy vọng mới cho tôi và cả những người dân Bắc Triều Tiên khi mà chúng tôi đang rất cần nó , và ông ta đã cho tôi thấy lòng tốt từ những người xa lạ và sự hỗ trợ của cộng đồng quốc tế chính là những tia hy vọng mà người Bắc Triều Tiên chúng tôi đang tìm kiếm .
I did everything to get my family to freedom , and we came so close , but my family was thrown in jail just a short distance from the South Korean embassy .;Tôi đã làm đủ mọi cách để đưa gia đình mình đến với tự do , và chũng tôi gần như đã thành công nhưng họ lại bị bắt trong khi chúng tôi chỉ còn cách đại sứ quán Hàn Quốc một khoảng cách rất ngắn nữa thôi .
But then I said , I want to go out with this information .;Nhưng sau đó tôi đã nói , tôi muốn công khai những thông tin này .
This morning , the gentleman who opened this conference lay a stick on the floor , and said , " Can we -- can you imagine a city that is not neocolonial ? ;Sáng nay , người tổ chức buổi họp này đặt một cây gậy ra sàn nhà , và nói , " Liệu chúng ta có thể--hình dung về một thành phố mà không phải là chủ nghĩa thực dân mới không ? "
When I was little , I thought my country was the best on the planet , and I grew up singing a song called " Nothing To Envy . ";Khi tôi còn nhỏ , Tôi nghĩ rằng BắcTriều Tiên là đất nước tốt nhất trên thế giới và tôi thường hát bài " Chúng ta chẳng có gì phải ghen tị . 
Every year , countless North Koreans are caught in China and repatriated to North Korea , where they can be tortured , imprisoned or publicly executed .;Hàng năm , có vô số người Bắc Triều Tiên bị bắt ở Trung Quốc và bị trả về nước , nơi mà họ bị tra tấn , bị giam cầm hoặc bị xử tử công khai .,
However , Gaddafi left behind a heavy burden , a legacy of tyranny , corruption and seeds of diversions .;Tuy nhiên , Gaddafi đã để lại một gánh nặng , một di sản của chính thể chuyên chế , tham nhũng và những mầm mống chia rẽ .
I met a very difficult environment in the pre-elections , an environment which was increasingly polarized , an environment which was shaped by the selfish politics of dominance and exclusion .;Tôi đã ở trong hoàn cảnh vô cùng khó khăn giai đoạn tiền bầu cử , một môi trường ngày càng phân cực , một môi trường được thành hình bởi quan điểm chính trị ích kỷ đầy tính thống trị và loại trừ .
If you have access to this information , you can control your society .;Nếu bạn có quyền truy cập những thông tin này , bạn có thể kiểm soát toàn bộ xã hội .
We have no freedom , " they said .;Họ nói , " Chúng tôi không có tự do ,
And some even said , this would be Stasi 2.0 .;Và một vài người thậm chí đã nói , nó giống như Stasi 2.0 .
This morning , the gentleman who opened this conference lay a stick on the floor , and said , " Can we -- can you imagine a city that is not neocolonial ? ";Sáng nay , người tổ chức buổi họp này đặt một cây gậy ra sàn nhà , và nói , " Liệu chúng ta có thể--hình dung về một thành phố mà không phải là chủ nghĩa thực dân mới không ? 
When these villagers claimed their freedom , the slaveholders burned down all of their houses .;Khi người dân làng này đòi tự do , những chủ nô đốt sạch nhà của họ .,
Government ? Forget about it !;Chính phủ ư ? Quên đi !
Almost 200 organizations were established in Benghazi during and immediately after the fall of Gaddafi -- almost 300 in Tripoli .;Gần 200 tổ chức được thiết lập tại Benghazi trong suốt thời gian đó và ngay sau Gaddafi sụp đổ -- gần 300 tại Tripoli .
North Koreans have to travel incredible distances on the path to freedom .;Người Bắc Triều Tiên đã phải vượt qua những khoảng cách dường như không tưởng để đến với tự do .
" I 'm helping the North Korean people . ";" ' Tôi đang giúp người Bắc Triều Tiên . "
These are the ideals that a war-torn Libya needs desperately in order to achieve peace .;Đây là những ý tưởng cần thiết mà một đất nước đã bị chiến tranh tàn phá như Libya tuyệt đối cần để có thể gặt hái được hoà bình .
However , bit by bit , the euphoria of the elections , and of the revolution as a whole , was fading out -- for every day we were waking up to the news of violence .;Tuy nhiên , từng chút từng chút một , sự hưng phấn từ các cuộc bầu cử và của cuộc cách mạng nhìn chung biến mất dần -- khi từng ngày qua đi chúng tôi thức dậy với các tin tức về bạo lực .
Even though they were caught , they were eventually released after heavy international pressure .;vì mặc dù đã bị bắt , nhưng cuối cùng học cũng được thả ra nhờ vào sức ép từ cộng đồng quốc tế .
I have never , ever forgotten the words of my grandmother who died in her exile : " Son , resist Gaddafi . Fight him .;Tôi chưa bao giờ quên những lời bà tôi dặn dò - bà đã qua đời trong cảnh tha hương : " Này cháu , hãy chống lại Gaddafi . Hãy chiến đấu chống lại hắn .
I met a very difficult environment in the pre-elections , an environment which was increasingly polarized , an environment which was shaped by the selfish politics of dominance and exclusion .;Tôi đã ở trong hoàn cảnh vô cùng khó khăn giai đoạn tiền bầu cử , một môi trường ngày càng phân cực , một môi trường được thành hình bởi quan điểm chính trị ích kỷ đầy tính thống trị và loại trừ .
I find that Americans see the fragility in changes .;Tôi thấy rằng người Mỹ thấy sự yếu ớt , dễ vỡ trong những thay đổi .
Every year , countless North Koreans are caught in China and repatriated to North Korea , where they can be tortured , imprisoned or publicly executed .;Hàng năm , có vô số người Bắc Triều Tiên bị bắt ở Trung Quốc và bị trả về nước , nơi mà họ bị tra tấn , bị giam cầm hoặc bị xử tử công khai .
Someone had accused me of being North Korean , so they tested my Chinese language abilities and asked me tons of questions .;Có ai đó đã báo với họ rằng tôi là người Bắc Triều Tiên , vì thế họ đã kiểm tra khả năng tiếng Trung của tôi và hỏi tôi rất nhiều câu hỏi .
Although I often wondered about the outside world , I thought I would spend my entire life in North Korea , until everything suddenly changed .;Mặc dù tôi đã từng tự hỏi không biết thế giới bên ngoài kia như thế nào , nhưng tôi vẫn nghĩ rằng mình sẽ sống cả cuộc đời ở BắcTriều Tiên , cho tới khi tất cả mọi thứ đột nhiên thay đổi .
I have never , ever forgotten the words of my grandmother who died in her exile : " Son , resist Gaddafi . Fight him .;Tôi chưa bao giờ quên những lời bà tôi dặn dò - bà đã qua đời trong cảnh tha hương : " Này cháu , hãy chống lại Gaddafi . Hãy chiến đấu chống lại hắn .
On another day we wake up to the news of the murder of the American ambassador and the attack on the consulate .;Ngày khác chúng tôi thức dậy với tin tức về vụ tàn sát đại sứ Mỹ và vụ tấn công vào lãnh sự quán .
" The Taliban are gone ! " my father shouted .;Ông ấy la lên : " Bọn Taliban đã đi rồi ! "
We need to stop acting as agents of rage and calling for days of rage .;Chúng tôi cần dừng việc hành động như những sứ giả cuồng nộ , dừng việc ủng hộ những ngày cuồng nộ .
And we need to establish that existentially before we do so sociopolitically .;Và chúng tôi cần thiết lập yếu tố sống còn đó trước khi thực hiện mặt chính trị - xã hội .
We can also act as a bridge between the people inside North Korea and the outside world , because many of us stay in contact with family members still inside , and we send information and money that is helping to change North Korea from inside .;Chúng tôi cũng có thể đóng vai trò như cầu nối giữa những người đang ở trong Bắc Triều Tiên với thế giới bên ngoài , bởi vì có rất nhiều người trong chúng tôi đang giữ liên lạc với những thành viên gia đình khác ở trong nước , và chúng tôi chia sẻ với họ thông tin và tiền bạc để có thể thay đổi Bắc Triều Tiên từ phía trong .
Our society needs the qualitative representation of the feminine more than it needs the numerical , quantitative representation of the feminine .;Xã hội của chúng tôi cần những sự đại diện có phẩm chất từ nữ giới hơn là cần những con số và số lượng về sự đại diện mang tính nữ giới .
Suddenly , there was no country I could proudly call my own .;Bỗng nhiên , tôi chẳng có một đất nước nào để có thể tự hào gọi là Tổ quốc .
Ultimately , more than a million North Koreans died during the famine , and many only survived by eating grass , bugs and tree bark .;Nó khiến hơn một triệu người Triều Tiên chết trong nạn đói , và nhiều người chỉ sống sót phải ăn cỏ , sâu bọ và vỏ cây .
During Taliban years , I remember there were times I would get so frustrated by our life and always being scared and not seeing a future .;Trong những năm Taliban , tôi nhớ rằng có những lúc tôi rất tức giận về cuộc sống của chúng tôi và luôn sợ hãi và không thấy được tương lai .
My councilman even called in and said how they endorse and love what we 're doing .;Uỷ viên hội đồng đó thậm chí còn gọi tới và nói rằng họ tán thành và thích việc mà chúng tôi đang làm .
On top of that , Manuru has tuberculosis , yet he 's still forced to work day in and day out in that mine shaft .;Trên hết , Manuru bị bệnh lao , nhưng vẫn bị bắt làm việc ngày qua ngày tại hầm mỏ đó .
And of course the local people had absolutely no interest in doing that , so we paid them to come and work , and sometimes they would show up .;Tất nhiên những người dân bản địa chẳng mấy hứng thú làm công việc này , vậy nên chúng tôi trả công cho họ , và đôi lúc họ mới đến làm việc .
I mean , these people had nothing , and they were so petrified , they wanted to give up , but the woman in the center rallied for them to persevere , and abolitionists on the ground helped them get a quarry lease of their own , so that now they do the same back-breaking work , but they do it for themselves , and they get paid for it , and they do it in freedom .;Những người này không có gì , họ chết điếng , họ muốn đầu hàng , nhưng người phụ nữ ở giữa trấn tĩnh và kêu gọi mọi người kiên trì , và những người theo chủ nghĩa bãi nô tại hiện trường giúp họ lấy được hợp đồng cho thuê mỏ đá của chính mình , để giờ đây họ vẫn làm công việc gãy lưng ấy , nhưng làm cho chính họ , và được trả công , và họ làm trong tự do .
Over 85 percent of abusers are men , and domestic abuse happens only in intimate , interdependent , long-term relationships , in other words , in families , the last place we would want or expect to find violence , which is one reason domestic abuse is so confusing .;Hơn 85 phần trăm kẻ bạo hành là đàn ông , và bạo lực gia đình xảy ra chỉ trong những mối quan hệ thân thiết , ràng buộc , lâu dài , nói cách khác , là trong gia đình , nơi cuối cùng chúng ta mong muốn hoặc trông chờ tìn thấy bạo lực đó là một lí do khiến bạo hành gia đình là vấn đề gây bối rối .
Other outcomes include long-term stalking , even after the abuser remarries ; denial of financial resources ; and manipulation of the family court system to terrify the victim and her children , who are regularly forced by family court judges to spend unsupervised time with the man who beat their mother .;Nhưng hậu quả khác như bị theo dõi lâu dài , thậm chí sau kẻ lạm dụng kết hôn lại ; khước từ những nguồn tài chính ; và vận động của hệ thống toàn án gia đình để làm khiếp sợ nạn nhân và những đứa trẻ của cô ta , những đứa trẻ này thường bị ép buộc bởi phán quyết của toà dành thời gian không bị giám sát với người đàn ông đã đánh đập mẹ chúng .
The first time , I was driving to find a secret beach and I got lost , and he punched me in the side of my head so hard that the other side of my head repeatedly hit the driver 's side window .;Lần đầu tiên , Tôi đang lái xe để tìm một bãi biển bí mật và tôi bị lạc , anh ta đánh vào một bên đầu tôi rất mạnh khiến đầu tôi liên tục đập vào cửa kính của xe
If you had told me that this smart , funny , sensitive man who adored me would one day dictate whether or not I wore makeup , how short my skirts were , where I lived , what jobs I took , who my friends were and where I spent Christmas , I would have laughed at you , because there was not a hint of violence or control or anger in Conor at the beginning .;Nếu bạn nói với tôi rằng người đàn ông thông minh , vui tính , nhạy cảm này , người quý mến tôi một ngày ra lênh khi nào thì tôi được trang điểm hay không , váy của của tôi được ngắn bao nhiêu , tôi sống ở đâu , tôi làm công việc gì , ai là bạn của tôi và đâu là nơi tôi nghỉ lễ Giáng sinh , Tôi sẽ cười mặt vào bạn bởi vì không có mảy may môt dấu vết nào của bạo lực hay kiểm soát hay tức giận ở Conor từ lúc đầu .
I was 22 , and in the United States , women ages 16 to 24 are three times as likely to be domestic violence victims as women of other ages , and over 500 women and girls this age are killed every year by abusive partners , boyfriends , and husbands in the United States .;Tôi chỉ 22 tuổi , sống ở nước Mỹ , phụ nữ tuổi từ 16 đến 24 có nguy cơ gấp ba lần trở thành nạn nhân của bạo lực gia đình so với phụ nữ ở những độ tuổi khác , và trên 500 phụ nữ và các cô gái ở tuổi này bị giết mỗi năm bởi những kẻ tình nhân bạo hành , bạn trai , và chồng ở Mỹ
Conor proceeded to beat me once or twice a week for the next two and a half years of our marriage .;Conor tiếp tuc đánh tôi một đến hai lần mỗi tuần trong suốt hai tháng sau và nửa năm từ khi kết hôn .
Why would anyone stay with a man who beats her ?;Tại sao người phụ nữ lại nên ở lại với người đã đánh họ ?
Because it turns out that I 'm actually a very typical domestic violence victim and a typical domestic violence survivor .;Bởi sự thật tôi là một nạn nhân điển hình của bạo lực gia đình đã kết thúc tôi là người sống sót điển hình khỏi bạo lực gia đình .
Now , Conor did not come home one day and announce , " You know , hey , all this Romeo and Juliet stuff has been great , but I need to move into the next phase where I isolate you and I abuse you " — — " so I need to get you out of this apartment where the neighbors can hear you scream and out of this city where you have friends and family and coworkers who can see the bruises . ;Bấy giờ , Conor không trở về nhà vào một ngày và thông báo rằng " Này , Cô biết không , tất cả ngón nghề kiểu Romeo và juliet này thật tuyệt , nhưng tôi cần phải chuyển sang giai đoạn tiếp theo nơi mà tôi cô lập và hành hạ cô " — — " do vậy tôi cần phải đưa cô ra khỏi căn hộ này nơi mà những người hàng xóm có thể nghe tiếng cô la hét và ra khỏi thành phố này nơi cô có bạn bè và gia đình và những đồng nghiệp có thể nhìn thấy những vết thâm tím . "
I would have told you myself that I was the last person on Earth who would stay with a man who beats me , but in fact I was a very typical victim because of my age .;Tôi đã tự nhủ bản thân mình , tôi là người còn lại trên trái đất chung sống với người đàn ông đã đánh mình , nhưng thật ra , tôi là một nạn nhân điển hình do độ tuổi của tôi .
It was an isolated incident , and he was never going to hurt me again .;Đó là môt sự cố cá biệt , và anh ta sẽ không bao giờ làm đau tôi nữa .
I was working on my computer trying to finish a freelance writing assignment , and I got frustrated , and Conor used my anger as an excuse to put both of his hands around my neck and to squeeze so tightly that I could not breathe or scream , and he used the chokehold to hit my head repeatedly against the wall .;Tôi đang lamg việc trên mái tính , cố hoang thành bài viết được giao và tôi thấy nản lòng , Conor dùng sự tức giận của tôi như lời bào chữa để lấy hai tay vòng quanh cổ tôi và xiết chặt đến nổi tôi không thể thở hay la hét , và anh ta dùng cùi chỏ đập đầu tôi vào tường liên tục .
The next step in the domestic violence pattern is to introduce the threat of violence and see how she reacts .;Bước tiếp theo trong kịch bản bạo lực này là đưa vào sự đe doạ bạo lực và xem cô ta phản ứng ra sao .
Patronizing , I treat everybody from another culture as if they were my servants .;Bảo trợ , tôi đối xử với tất cả mọi người từ nền văn hoá khác như đầy tớ của mình .
You have the power to end domestic violence simply by shining a spotlight on it .;Bạn có sức mạnh để kết thúc bạo lực gia đình đơn giản bằng cách rọi vào đó một tia sáng .
Potholes , of course , that can become a problem , but we have a solution .;Ổ gà , đương nhiên , có thể trở thành một vấn đề , Nhưng chúng tôi có giải pháp .
He not only brags about my college degree , but also that I was the first woman , and that I am the first woman to drive him through the streets of Kabul .;Ông ấy không những khoe về bằng cao đẳng của tôi , mà còn về tôi là người phụ nữ đầu tiên , và tôi là người phụ nữ đầu tiên có thể chở ông ấy trên những con đường ở Kabul .
Driving down a road in Ghana with partners of Free the Slaves , a fellow abolitionist on a moped suddenly sped up to our cruiser and tapped on the window .;Lái xe trên đường ở Ghana , cũng những đồng nghiệp trong tổ chức Giải phóng Nô lệ , 1 anh bạn thuộc những người theo chủ nghĩa bãi nô đi xe gắn máy bất ngờ tăng tốc lên ngang xe chúng tôi và gõ vào cửa kính .
A conservative estimate tells us there are more than 27 million people enslaved in the world today .;Một sự ước lượng dè dặt cho chúng tôi biết có hơn 27 triệu người bị biến thành nô lệ trên thế giới ngày nay .
In Kathmandu , I was escorted by women who had previously been sex slaves themselves .;Ở Kathmandu , tôi được hộ tống bởi những người phụ nữ đã từng là nô lệ tình dục .
c) Terminate validity of the Outward investment certificate or Investment license or any Document granting approval for outward investment as prescribed in Point g, Clause 62 of the Law on Investment;c) Chấm dứt hiệu lực Giấy chứng nhận đăng ký đầu tư ra nước ngoài hoặc Giấy phép đầu tư hoặc Giấy chứng nhận đầu tư ra nước ngoài hoặc văn bản cho phép đầu tư ra nước ngoài theo quy định tại Điểm g Khoản 1 Điều 62 của Luật Đầu tư
2. Human resources working in mobilized industrial establishments or organizations engaged in defense industry activities shall comply with the law on indusuial mobilization and the labor law.;2. Nhân lực phục vụ tại cơ sở công nghiệp động viên và tổ chức tham gia hoạt động công nghiệp quốc phòng được thực hiện theo pháp luật động viên công nghiệp và pháp luật lao động.
a) Comply with the regulations of the Law on managing pesticides;a) Tuân thủ quy định của pháp luật về quản lý thuốc bảo vệ thực vật
2. The time limit to bring an individual labor dispute to the Court is 01 year from the date of detection of the act, which a party claims that their lawful rights or interests are infringed upon.;2. Thời hiệu yêu cầu Tòa án giải quyết tranh chấp lao động cá nhân là 01 năm, kể từ ngày phát hiện ra hành vi mà mỗi bên tranh chấp cho rằng quyền, lợi ích hợp pháp của mình bị vi phạm.
4. A fine of from 15,000,000 VND to 30,000,000 VND shall be imposed for damaging cultural or artistic works.;4. Phạt tiền từ 15.000.000 đồng đến 30.000.000 đồng đối với hành vi làm hư hại công trình văn hóa, nghệ thuật.
Article 56. Responsibilities of buyers of goods/services;Điều 56. Trách nhiệm của người mua hàng hóa, dịch vụ
By law, I should execute you, but I believe a more fitting punishment would be to let you live.;Theo luật pháp, ta nên hành hình ngươi, nhưng ta tin hình phạt phù hợp hơn là để cho ngươi sống.
4. A fine of between VND 30,000,000 and VND 40,000,000 for organizations and individuals conducting acts of export, import, temporary import for re-export, transport of transit of dangerous chemicals when competent state agencies have not yet allowed export, import, temporary import for re-export, transport of transit.;4. Phạt tiền từ 30.000.000 đồng đến 40.000.000 đồng đối với tổ chức, cá nhân có hành vi xuất khẩu, nhập khẩu, tạm nhập tái xuất, vận chuyển quá cảnh hóa chất nguy hiểm khi chưa được cơ quan nhà nước có thẩm quyền cho phép xuất, nhập khẩu, tạm nhập tái xuất, vận chuyển quá cảnh.
The bailiff's office is permitted to operate from the day on which the operation registration certificate is issued by Ho Chi Minh City Justice Department.;Văn phòng Thừa phát lại được hoạt động kể từ ngày Sở Tư pháp thành phố Hồ Chí Minh cấp giấy đăng ký hoạt động.
( 13) This Article is abolished by Clause 9 Article 1 of the Circular No. 10/2020/TT-BTTTT dated May 07,2020 of the Minister of Information and Communications on amendments to the Circular No. 30/2011/TT-BTTTT dated October 31,2011 of the Minister of Information and Communications on certification and declaration of conformity of information technology and communications goods and products, which comes into force from July 01,2020.;( 13) Điều này được bãi bỏ theo quy định tại khoản 9 Điều 1 của Thông tư số 10/2020/TT-BTTTT ngày 07 tháng 5 năm 2020 của Bộ trưởng Bộ Thông tin và Truyền thông sửa đổi, bổ sung một số nội dung của Thông tư số 30/2011/TT-BTTTT ngày 31 tháng 10 năm 2011 của Bộ trưởng Bộ Thông tin và Truyền thông quy định về chứng nhận hợp quy và công bố hợp quy đối với sản phẩm, hàng hóa chuyên ngành công nghệ thông tin và truyền thông, có hiệu lực kể từ ngày 01 tháng 7 năm 2020.
Article 91. Protection of evidence;Điều 91. Bảo vệ chứng cứ
Article 48. Handling the violations against the law on UXO clearance;Điều 48. Xử lý vi phạm pháp luật về khắc phục hậu quả bom mìn vật nổ sau chiến tranh
g) Rights and obligations of members;g) Quyền và nghĩa vụ của thành viên;
2. Establishment conditions;2. Điều kiện thành lập
It became legal on 1 January 1995.;Nó trở thành hợp pháp vào ngày 1 tháng 1 năm 1995.
The kind you wouldn't have the authority to make.;Loại giao kèo mà anh không đủ thẩm quyền để làm...
6. To appoint, remove from office, dismiss judges of local People's Courts, military courts of the Military Regions and the equivalent, the regional military courts at the proposal of the Judge Selection Council;6. Bổ nhiệm, miễn nhiệm, cách chức Thẩm phán các Toà án nhân dân địa phương, Toà án quân sự quân khu và tương đương, Toà án quân sự khu vực theo đề nghị của Hội đồng tuyển chọn Thẩm phán.
Article 43. Court fee for recognition and permission for enforcement in Vietnam of civil judgments or rulings of foreign courts or foreign arbitral awards;Điều 43. Lệ phí công nhận và cho thi hành tại Việt Nam bản án, quyết định dân sự của Tòa án nước ngoài, quyết định của Trọng tài nước ngoài
( 5) This provision is annulled by Clause 2 Article 516 of the Civil Procedure Code No. 92/2015/QH13, coming into force as of July 1,2016.;( 5) Điều này được bãi bỏ theo quy định tại khoản 2 Điều 516 của Bộ luật Tố tụng dân sự số 92/2015/QH13, có hiệu lực kể từ ngày 01 tháng 7 năm 2016.
Pursuant to Law on environmental protection No. 52/2005/QH11 dated November 29,2005;Căn cứ Luật Bảo vệ môi trường số 52/2005/QH11 ngày 29 tháng 11 năm 2005
Article 30. Signs and signals;Điều 30. Biển báo, tín hiệu
2. Enterprises applying home-created technologies of which the State is the owner shall be exempt from the payment for technology transfer to the State, but have to pay the authors as provided for in Clause 3, Article 33 of this Decree.;2. Doanh nghiệp ứng dụng công nghệ được tạo ra trong nước mà Nhà nước là chủ sở hữu thì được miễn khoản thanh toán chuyển giao công nghệ cho Nhà nước, nhưng phải thanh toán cho tác giả theo quy định tại khoản 3 Điều 33 của Nghị định này.
1. A fine ranging from VND 3,000,000 to VND 5,000,000 shall be imposed for any of the following violations involving the transport of dangerous goods :;1. Phạt tiền từ 3.000.000 đồng đến 5.000.000 đồng đối với hành vi vận chuyển hàng nguy hiểm có một trong các vi phạm sau đây :
1. The Supreme People's Court, the Supreme People's Procuracy, the State Audit, other state agencies and central agencies of political organizations and socio-political organizations shall, within the scope of their tasks and powers, manage the denunciation settlement work; and periodically notify the Government of the denunciation settlement work within the management scope of their agencies and organizations.;1. Toà án nhân dân tối cao, Viện kiểm sát nhân dân tối cao, Kiểm toán Nhà nước, các cơ quan khác của Nhà nước, cơ quan của tổ chức chính trị, tổ chức chính trị-xã hội ở trung ương trong phạm vi nhiệm vụ, quyền hạn của mình quản lý công tác giải quyết tố cáo; định kỳ thông báo với Chính phủ về công tác giải quyết tố cáo trong phạm vi quản lý của cơ quan, tổ chức mình.
But we can only do the right as we see the right, and reverently commit our cause to God.;Nhưng chúng ta chỉ có thể hành động vì công lý, Một khi đã nhìn ra công lý Và tuyệt đối
a) Officials and public employees are regulated in the law on officials and public employees;a) Cán bộ, công chức, viên chức theo quy định của pháp luật về cán bộ, công chức và viên chức
And we got carried away with the rhetoric of punishment .;Và chúng ta đã mất đi sự kiểm soát đối với mặt trái của các hình phạt .
And the judge has certified him as an adult , but I see this kid .;Quan toà chứng nhận đó là một người trưởng thành , nhưng tôi thấy cậu ấy vẫn còn là một đứa trẻ
We 're trying to end life without parole sentences for children .;cố gắng chấm dứt cảnh trẻ em bị kết án chung thân mà không hề được đặc xá ,
And I didn 't learn about this actually practicing law and doing the work that I do .;thực ra tôi không học được điều này khi tôi hành nghề luật sư hay qua những công việc tôi làm
In many ways , we 've been taught to think that the real question is , do people deserve to die for the crimes they 've committed ?;Bằng nhiều cách , chúng ta được dạy để tin rằng câu hỏi thực sự là liệu người ta có đáng phải chết vì tội lỗi mà họ đã gây ra ?
And as I was walking up the steps of this courthouse , there was an older black man who was the janitor in this courthouse .;và khi tôi bước lên bậc thang của toà án có một người đàn ông da đen lớn tuổi hơn tôi , ông là người trông nom toà án .
And yet , in this country , in the states of the Old South , we execute people -- where you 're 11 times more likely to get the death penalty if the victim is white than if the victim is black , 22 times more likely to get it if the defendant is black and the victim is white -- in the very states where there are buried in the ground the bodies of people who were lynched .;Ở đất nước của chúng ta , tại những bang Miền Nam lâu đời người ta vẫn thực thi án tử hình bạn có khả năng bị kết án tử hình cao gấp 11 lần nếu nạn nhân là người da trắng so với nạn nhân là người da đen và gấp 22 lần nếu bị đơn là người da đen còn nạn nhân là người da trắng chính những tiểu bang này đã chôn biết bao thi thể của người bị xử tử
About 10 minutes later the judge said we would take a break .;Khoảng 10 phút sau khi quan toà tuyên bố nghỉ giải lao .
