It will look something like this .;Giống như thế này đây .
A mobile phone can change your life , and a mobile phone gives you individual freedom .;Một chiếc điện thoại di động có thể thay đổi cuộc sống của bạn , và một chiếc điện thoại cũng mang lại cho bạn tự do cá nhân .
Because I want to show the people what does data retention mean .;Bởi lẽ tôi muốn cho mọi người thấy sự bảo lưu dữ liệu thật sự là như thế nào .
We are at the end of the first industrial revolution -- nonrenewable fossil fuels , manufacturing -- and all of a sudden , we have systems which are not sustainable .;Chúng ta đang ở giai đoạn cuối cùng của cuộc cách mạng công nghiệp đầu tiên-- với những nguồn nhiên liệu , nền sản xuất không thể tái tạo , và đột nhiện , chúng ta có những hệ thống không bền vững .
Every time I use my mobile phone ?;Mỗi khi chúng ta sử dụng điện thoại di động của mình ?
How can you do — ? " And I said , " I do something very , very , very difficult .;Ông làm thế nào-- ? " Và tôi đáp , " Tôi đã làm một việc rất ư là khó .
With a mobile phone , you can shoot a crime against humanity in Syria .;Với một chiếc điện thoại di động , bạn có thể ghi lại hình ảnh những hành động xâm phạm nhân quyền ở Syria .
Sure , you can say " spatial and temporal , " but why not just say " space and time , " which is so much more accessible to us ?;Chắc chắn có thể nói " spatial and temporal " nhưng sao không dùng " space and time "
These are 35,830 lines of information .;Có khoảng 35830 dãy thông tin .
So pervasive was the heat and the dust that my camera became too hot to even touch and ceased working .;Nóng và bụi lan toả khắp nơi đến nỗi camera của tôi bị nóng đến mức không thể chạm vào nút ngừng quay .
All this is possible with your mobile phone .;Tất cả những điều đó hoàn toàn có thể chỉ với chiếc điện thoại di động của bạn .
All this information is stored for at least six months , up to two years by your phone company or your Internet service provider .;Tất cả những thông tin này đều được lưu trữ ít nhất trong sáu tháng , cho tới hai năm bởi nhà mạng bạn đang sử dụng hoặc nhà cung cấp dịch vụ Internet .
At first I saw it , and I said , okay , it 's a huge file . Okay .;Đầu tiên tôi nhìn nó , và nói , được rồi . Nó là một file dữ liệu lớn . Tốt .
The idea of finding a different technology had absolutely taken over , and there were tiny , tiny little factories in backwaters .;Cái ý tưởng tìm kiếm một công nghệ khác biệt đã hoàn toàn vượt lên trên tất cả và có những nhà máy rất nhỏ bé trong tình trạng trì trệ
What do bullets do ? Bullets kill , and they will kill your presentation .;Khi gạch tên đi thì sao ? Gạch đi là xoá sổ , giết chết luôn ! và chúng cũng sẽ giết bài thuyết trình của anh .
When something becomes ultra-low cost , it becomes massively scalable .;Khi một cái gì đó trở nên cực rẻ , nó sẽ được phổ biến trên diện rộng
Hi . This is my mobile phone .;Xin chào . Đây là chiếc điện thoại di động của tôi .
And I also ask myself , does it really work ?;Tôi cũng đã từng tự hỏi , thực tế nó có hoạt động không ?
If you have access to this information , you can control your society .;Nếu bạn có quyền truy cập những thông tin này , bạn có thể kiểm soát toàn bộ xã hội .
How can we affect something so insidious , yet so pervasive ?;Làm sao chúng ta có thể tạo ra điều quỷ quyệt này , lại còn xảy tràn làn như thế ?
So I had to find a way of solving this problem .;Vì thế tôi phải tìm ra cách để giải quyết vấn đề này .
They 're high-speed , take about 30 seconds at most .;Tốc độ nhanh , chỉ mất khoảng 30 giây tối đa .
And because the engineers that I 've worked with have taught me to become really in touch with my inner nerd , I want to summarize with an equation .;Những kỹ sư tôi làm việc cùng dạy tôi phải biết suồng sã hoá mọi thứ đi . Cho nên tôi muốn tóm tắt với 1 phương trình .
Đó có nghĩa là nó có thể tự thực hiện được .;That means they can be self-administered .
Saying that you want to be a model when you grow up is akin to saying that you want to win the Powerball when you grow up .;Nói rằng em muốn được là người mẫu khi em lớn lên giống như nói em muốn trúng vé số khi em trưởng thành vậy .
This is autumn 1989 , and imagine that all those people standing up and protesting for change had a mobile phone in their pocket .;Đó là vào mùa thu năm 1989 , và hãy tưởng tượng những con người đã đứng lên và biểu tình đòi sự thay đổi đó có một chiếc điện thoại di động trong túi .
Bây giờ chắc các bạn đang thắc mắc liệu nó có hiệu quả hay không .;And now you 're of course curious if it also worked .
The older ladies sometimes hadn 't seen a scanner before , but within 10 minutes of them finding their lost photo , they could give it to us , have it scanned , uploaded to a cloud server , it would be downloaded by a gaijin , a stranger , somewhere on the other side of the globe , and it 'd start being fixed .;Những phụ nữ lớn tuổi đôi khi chưa từng nhìn thấy máy scan , nhưng sau 10 phút , tìm bức ảnh bị mất của mình , đưa lại cho chúng tôi để scan , tải lên một máy chủ đám mây , để tải xuống bởi một gaijin , một người lạ , ở một nơi nào đó trên thế giới , và bắt đầu được chỉnh sửa .
So I figured that the problem is the solution .;Tôi nhận ra rằng vấn đề chính là giải pháp .
At first I saw it , and I said , okay , it 's a huge file . Okay .;Đầu tiên tôi nhìn nó , và nói , được rồi . Nó là một file dữ liệu lớn . Tốt .
This is six months of my life , into this file .;Đây là cuộc sống trong sáu tháng của tôi , đã được ghi lại toàn bộ trong tệp dữ liệu này .
Raw data .;Những thông tin thuần sơ cấp .
But self-determination and living in the digital age is no contradiction .;Sự tự chủ và việc sống trong thời đại công nghệ số không hề mâu thuẫn .
You see , some people may not do it . They may not get through it .;Bạn thấy đó , một số người có thể không làm điều đó . Có thể họ không gọi tới được .
So I asked my phone company , Deutsche Telekom , which was at that time the largest phone company in Germany , and I asked them , please , send me all the information you have stored about me .;Do đó tôi đã yêu cầu nhà mạng mình sử dụng , Deutsche Telekom , nhà cung cấp dịch vụ viễn thông lớn nhất của Đức tại thời điểm đó , và tôi đã yêu cầu họ , làm ơn , hãy gửi cho tôi toàn bộ thông tin của tôi mà họ đã lưu trữ .
But these great conversations can 't occur if our scientists and engineers don 't invite us in to see their wonderland .;Nhưng những cuộc trao đổi hiệu quả không thể diễn ra nếu các nhà khoa học và kỹ sư không mời ta vào xứ sở của họ .
This directive says that each phone company in Europe , each Internet service company all over Europe , has to store a wide range of information about the users .;Chỉ thị này cho biết mỗi công ty viễn thông ở châu Âu , mỗi nhà cung cấp dịch vụ Internet trên toàn lãnh thổ châu Âu , đều phải lưu trữ một lượng lớn thông tin về những người sử dụng .
And so , scientists and engineers , when you 've solved this equation , by all means , talk nerdy to me .;Và do đó , hỡi các nhà khoa học và kĩ sư , khi các anh giải phương trình này , bằng mọi giá , hãy nói tám chuyện phiếm với tôi .
Our scientists and engineers are the ones that are tackling our grandest challenges , from energy to environment to health care , among others , and if we don 't know about it and understand it , then the work isn 't done , and I believe it 's our responsibility as non-scientists to have these interactions .;Nhà khoa học và kỹ sư là những người đang đương đầu với các thách thức lớn nhất , từ năng lượng tới môi trường và y tế , và còn nhiều nữa , Nếu ta không biết và không hiểu điều đó , thì việc sẽ không xong , và tôi tin trách nhiệm của chúng ta , những người không chuyên , là tương tác với họ .
We might produce the next George Washington Carver .;Có thể ta sẽ sản sinh ra George Washington Carver tiếp theo .
We desperately need great communication from our scientists and engineers in order to change the world .;Chúng ta vô cùng cần giao tiếp hiệu quả với những nhà khoa học và kỹ sư để có thể thay đổi thế giới .
So that 's what we did here . You see where we were making the test road , and then of course this road will last several years without any damage . That 's what we know from practice .;Vậy là đó là điều chúng tôi đã thực hiện tại đây . Bạn xem con đường thử nghiệm chúng tôi đã làm , và rồi đương nhiên con đường này sẽ tồn tại được trong nhiều năm mà không bị hư hại nào . Đó là những gì chúng tôi học từ thực nghiệm .
,We tested a lot of specimens there , and then the government , they actually saw our results , and they thought , " Well , that 's very interesting . We have to try that . ";Tại phòng thí nghiệm chúng tôi đã thử qua nhiều mẫu , và rồi chính phủ , họ đã thực sự nhìn thấy kết quả. và họ cho rằng : " À , cách đó hay lắm . Chúng ta phải thử xem sao . "
Our scientists and engineers are the ones that are tackling our grandest challenges , from energy to environment to health care , among others , and if we don 't know about it and understand it , then the work isn 't done , and I believe it 's our responsibility as non-scientists to have these interactions .;Nhà khoa học và kỹ sư là những người đang đương đầu với các thách thức lớn nhất , từ năng lượng tới môi trường và y tế , và còn nhiều nữa , Nếu ta không biết và không hiểu điều đó , thì việc sẽ không xong , và tôi tin trách nhiệm của chúng ta , những người không chuyên , là tương tác với họ .
We gotta flip the script on what a gangsta is .;Ta sẽ thay đổi khái niệm về găngxtơ .
But these great conversations can 't occur if our scientists and engineers don 't invite us in to see their wonderland .;Nhưng những cuộc trao đổi hiệu quả không thể diễn ra nếu các nhà khoa học và kỹ sư không mời ta vào xứ sở của họ .
You can clearly communicate your science without compromising the ideas .;Rõ ràng là anh có thể nói về những vấn đề khoa học mà không làm méo mó ý tưởng .
And that 's how it looks to lions when they come at night .;Và đó là cách mà ánh sáng chiếu về phía sư tử khi chúng đến vào đêm khuya .
Recent studies have shown that in areas where there are no vultures , carcasses take up to three to four times to decompose , and this has huge ramifications for the spread of diseases .;những nghiên cứu gần nhất đã cho thấy tại những khu vực mà không có kền kền xác chết cần khoảng thời gian gấp 3 đến 4 lần để phân huỷ , và hệ quả to lớn từ việc này là sự lây lan của bệnh tật .
You could not get a worse insult , and that from Charles Darwin .;Bạn không thể nào bị sỉ nhục tồi tệ hơn thế , và đó là những lời từ Charles Darwin .
I didn 't know what to expect from this experiment , but by the next day , the wall was entirely filled out , and it kept growing .;Tôi không biết phải trông đợi điều gì từ cuộc thử nghiệm này , nhưng vào ngày hôm sau , bức tường đã hoàn toàn được phủ kín , và nó cứ tiếp tục phát triển .
And when you 're describing your science , beware of jargon .;Khi mô tả khoa học , hãy cẩn thận khi dùng thuật ngữ .
When Charles Darwin went across the Atlantic in 1832 on the Beagle , he saw the turkey vulture , and he said , " These are disgusting birds with bald scarlet heads that are formed to revel in putridity .;Khi Charles Darwin vượt qua Thái Bình Dương năm 1832 từ tàu Beagle , ông thấy những con kền kền Thổ Nhĩ Kỳ , Ông nói , " Những con chim này thật kinh tởm với cái đầu trọc đỏ chói được tạo ra để hoan hỉ trong hôi thối
Well , to conclude , I can say that we made a material using steel fibers , the addition of steel fibers , using induction energy to really increase the surface life of the road , double the surface life you can even do , so it will really save a lot of money with very simple tricks .;À , để đúc kết lại , tôi có thể nói rằng chúng tôi đã tạo ra một loại vật liệu sử dụng sợi thép , thêm vào sợi thép , sử dụng nhiệt lượng từ , để thực sự giúp gia tăng tuổi thọ của mặt đường , Gấp đôi tuổi thọ mặt đường là việc mà ngay cả bạn cũng làm được , Tăng gấp đôi tuổi thọ mặt đường bằng những thủ thuật rất đơn giản.sẽ giúp tiết kiệm được nhiều tiền .
Induction can heat , especially steel ; it 's very good at that .;Cảm ứng từ có thể tạo nhiệt , đặc biệt thép lại dẫn nhiệt rất tốt .
My next invention is , I want to make an electric fence . Electric fence ?;Phát minh sắp tới của cháu , cháu muốn làm một hàng rào điện . Hàng rào điện sao ?
And because the engineers that I 've worked with have taught me to become really in touch with my inner nerd , I want to summarize with an equation .;Những kỹ sư tôi làm việc cùng dạy tôi phải biết suồng sã hoá mọi thứ đi . Cho nên tôi muốn tóm tắt với 1 phương trình .
Due to weathering , due to U.V. light , due to oxidation , this binder , this bitumen , the glue between the aggregates is going to shrink , and if it shrinks , it gets micro-cracks , and it delaminates from the aggregates .;Dưới tác động của thời tiết , bức xạ mặt trời , tình trạng oxy hoá chất nhựa này , nhựa bitum này chất keo dính giữa các khối kết tập này sẽ co lại , và nếu co lại , nó sẽ có những khe nứt cực nhỏ. rồi tróc ra khỏi các khối kết tập .
And the Internet is great for collecting words, because the Internet's full of collectors.;Và mạng Internet rất tuyệt vời cho việc thu thập từ, vì mạng Internet chứa đầy các bộ sưu tập.
Unknown host% 1;Không biết máy% 1.
Chris and I were really amazed by the potential now with modern web browsers, where you have HTML5 audio and video and the power of JavaScript to render amazingly fast.;Chris và tôi rất ngạc nhiên bởi tiềm năng bây giờ của dụng cụ trang mạng hiện đại khi bạn có video và âm thanh HTML5 và sức mạnh của JavaScript để biểu hiện nhanh chóng một cách ngạc nhiên
After you open the file, the add-on should automatically install.;Sau khi bạn mở tập tin, tiện ích bổ sung sẽ tự động được cài đặt.
To sign in with your Apple ID, click Store â† ' Sign In...;Để đăng nhập bằng tài khoản Apple ID, bấm Store → Sign In...iPad của bạn sẽ có dây cắm USB, dùng dây này để kết nối thiết bị của bạn với máy tính.
The addition of this API provides search functionality to the developer's application whilst also increasing search traffic for Yahoo's search engine hence benefitting both parties.;Các bổ sung của API này cung cấp tính năng tìm kiếm cho các ứng dụng của các nhà phát triển trong khi cũng tăng lượng truy cập cho công cụ tìm kiếm của Yahoo do đó có lợi cho cả hai bên.
No protocol specified for mailbox% d;Chưa ghi rõ giao thức cho hộp thư% d
Unsupported filter chain or filter options;Không hỗ trợ lọc móc xích hay tùy chọn lọc;
It involves a number of prominent developers from other projects.;Nó đã thu hút một số lượng lớn những người phát triển từ các dự án khác.
Exclude notifications with a sound;Nhấn vào để kiểm tra việc báo cáo
This will keep the audience from becoming overloaded with information.;Như vậy, người xem sẽ không cảm thấy quá tải vì quá nhiều thông tin.
4. Component projects;4. Các dự án thành phần
Click the Apple menu and select System Preferences.;Nhấp vào trình đơn Apple và chọn System Preferences.
Router.;Bộ định tuyến .
To start, I need to define a tool group;Để bắt đầu, tôi cần phải xác định một nhóm công cụ
And for me, I quickly landed on this one :;Và đối với tôi, tôi nhanh chóng đã hạ cánh trên trang này :
Did not write partition table to disk.;Không ghi bảng phân vùng lên đĩa.
This is how we do it.;Đây là cách chúng tôi làm điều đó.
And a lot of people also want to know, " How does it work?;Nhiều người rất muốn biết hoạt động của nó
The moon icon will turn gray again, and you'll be able to receive phone calls.;Biểu tượng sẽ chuyển thành màu xám và bạn sẽ có thể nhận được cuộc gọi đến.
A command named% 1 already exists. Do you want to continue and edit the existing one?;Lệnh tên «% 1 » đã có. Bạn có muốn tiếp tục và sửa đổi lệnh đã có không?
Network Video Recorders (NVR) and analog recorders (VCRs ), also available for purchase, work the same way as a DVR, using an internet signal (NVR) or blank tapes (VCR) to record instead of a digital hard-drive.;Thiết bị ghi hình mạng (NVR) và thiết bị ghi analog cũng có trên thị trường, hoạt động tương tự như DVR, sử dụng tín hiệu internet (NVR) hay băng (VCR) để ghi hình thay cho ổ cứng kỹ thuật số.
- We all exaggerate and lie but alone on the Internet our Google search history quickly reveals the truth.;Chúng ta toàn nổ và nói dối nhưng qua Internet lịch sử tìm kiếm Google của ta nhanh chóng phơi bày sự thật.
b/Form of openness :;b) Hình thức công khai :
You can't drag it any further.;Bạn không thể kéo nó bất kỳ thêm.
Go to Settings, System, Storage, then the location of your user, and delete it.;Vào Settings > System > Storage để tìm mục người dùng và xóa đi.
They had never heard of Mark Zuckerberg or Steve Jobs.;Các em chưa bao giờ nghe nói về Mark Zuckerberg hay Steve Jobs.
Microsoft came back to say that affordable computer monitors with better resolutions were at least a decade away.;Nhưng Microsoft quay lại và nói, màn hình máy tính có giá vừa phải và độ phân giải cao sẽ chẳng xuất hiện trong ít nhất một thập kỷ nữa.
So imagine we're running, like, a find and replace on all of the timelines that are currently steering us towards more and more screen time persuasively and replacing all of those timelines with what do we want in our lives.;Hãy nghĩ rằng chúng ta đang chạy, như đang tìm kiếm và thay thế tất cả những lời gợi ý trên dòng thời gian chi phối chúng ta dành ngày càng nhiều thời gian cho nó và thay thế tất cả dòng thời gian đó với những gì chúng ta muốn cho cuộc sống của mình.
They said that an increased framerate of 70 Hz would be possible through the use of an HDMI 1.4 port.;Họ nói rằng tốc độ khung hình sẽ có thể tăng lên 70fps nếu sử dụng cổng HDMI 1.4.
The Internet Explorer team began with about six people in early development.;Nhóm Internet Explorer bắt đầu khoảng sáu người trong giai đoạn phát triển đầu tiên.
I read your friend Iris' blog post on The Flash, and I visited all the crime scenes you fought at.;Tôi đã đọc blog của Iris, bạn của cậu về Flash, và xem qua tất cả những hiện trường mà cậu đã chiến đấu.
Microsoft and its partners hold patents for CLI.;Microsoft và các đối tác của họ giữ bằng sáng chế cho CLI.
I've been trying, but he's found some way to shield himself from it.;- Tôi đã thử rồi.-Nhưng hắn hình như có cách nào đó qua mặt được thiết bị này.
In March 2008, the IETF formed a new IDN working group to update the current IDNA protocol.;Vào tháng 3 năm 2008, IETF thành lập một nhóm làm việc IDN mới để cập nhật giao thức IDNA hiện tại.
\t-B\tPaging statistics (A-PAGE );\t-B\tThống kê dàn trang
But it's 100% possible.;Tuy nhiên điều này là hoàn toàn có thể.
From this point on a curious development took place: while in the United States the possibility of applying the computer to business operations led to the development of management software architecture such as MRP and successive modifications, and ever more sophisticated optimization techniques and manufacturing simulation software, in post-war Japan a series of events at Toyota Motor led to the development of the Toyota Production System (TPS) and Lean Manufacturing.;Từ thời điểm này, một sự phát triển gây tò mò đã diễn ra: trong khi ở Hoa Kỳ, khả năng ứng dụng máy tính vào hoạt động kinh doanh đã dẫn đến sự phát triển kiến trúc phần mềm quản lý như MRP và sửa đổi liên tiếp, và các kỹ thuật tối ưu hóa và sản xuất phần mềm mô phỏng tinh vi hơn bao giờ hết tại Nhật Bản sau chiến tranh, một loạt các sự kiện tại Toyota Motor đã dẫn đến sự phát triển của Hệ thống sản xuất Toyota (TPS) và Sản xuất tinh gọn.
Click the " Type " menu and select the file system you want to use.;Nhấp vào trình đơn " Type " (Loại) và chọn hệ thống tập tin mà bạn muốn sử dụng.
- And if I press here...;- Nếu ấn vào đây...
Just be aware that you are at work, not vacation, and keep that popcorn flowing.;Chỉ cần nhớ là bạn đang ở nơi làm việc chứ không phải đi nghỉ và hãy phục vụ bỏng ngô thật tốt.
ERROR: failed to initialise modules: % s;LỖI: không khởi động mô-đun được: % s
You know you're watching this video with your eyes, hearing it with your ears.;Bạn biết mình đang xem video này bằng mắt và nghe bằng tai.
Highlight HTML;Tô sáng & HTML
b) Applying the process which is currently protected as an invention or utility solution;b) áp dụng quy trình đang được bảo hộ là sáng chế, giải pháp hữu ích;
This includes hardware donations for driver developers, cash donations for people who develop Linux software, and the employment of Linux programmers at the company.;Điều này bao gồm quyên góp phần cứng cho các nhà phát triển trình điều khiển, quyên góp tiền mặt cho những người phát triển phần mềm Linux và việc làm của các lập trình viên Linux tại công ty.
Go to https: //contacts. google. com/in your computer's web browser.;Truy cập https: //contacts. google. com/bằng trình duyệt web của máy tính.
Please run e2fsck-fy% s.;Vui lòng chạy lệnh " e2fsck-fy% s ".
Canon PIXMA iP7270;Canon PIXMA iP7270
If you need to delete all of your browsing history, click here.;Bạn có thể xem thêm trên mạng nếu cần xóa toàn bộ lịch sử duyệt web.
The things you see can be very complicated indeed.;Những điều bạn thấy có thể rất phức tạp.
The Wall Street Journal-Microsoft Scratches Plan for Web in Potty snopes. com-iLoo Microsoft iLoo was no hoax-official MSN UK release MacObserver Online, on the Toilet;Ngày 14 tháng 5 năm 2003.tr. A1 Front. The Wall Street Journal-Microsoft Scratches Plan for Web in Potty snopes. com-iLoo Microsoft iLoo was no hoax-official MSN UK release MacObserver Online, on the Toilet
But the key to eradicating polio is early detection, early response.;Nhưng chìa khóa để làm điều đó là phát hiện sớm, xử lí sớm.
You can try to imagine alternate possible futures, which is what we did.;như cố hình dung viễn cảnh có thể xảy ra, là điều chúng tôi đã làm.
Once you know the kind of machine being used at your office, brush up on its main functions and the ways to fix common problems.;Một khi bạn đã biết rõ về loại máy đang được sử dụng tại văn phòng của bạn, hãy tìm hiểu các chức năng chính của chúng và tìm hiểu cách để khắc phục các vấn đề chung.
Say , " Computer , would you please make a hundred million random sequences of instructions .;Hay nói cách khác , " Máy tính , liệu bạn có thể đưa ra hàng trăm triệu dãy câu lệnh ngẫu nhiên .
Well the answer is , if I drew it on a normal curve where , let 's say , this is years , this is time of some sort , and this is whatever measure of the technology that I 'm trying to graph , the graphs look sort of silly .;Câu trả lời là , nếu tôi vẽ nó trên một đường cong bình thường đây , có thể nói , là năm , đây là một loại thời gian , và bất kể đây là thước đo công nghệ gì tôi đang cố gắng minh hoạ , đồ thị đều trông rất ngớ ngẩn .
And I think all of us here are a part of producing whatever that next thing is .;Và tôi nghĩ rằng tất cả chúng ta ở đây là một phần của sự sản sinh thế hệ tiếp theo - bất kể đó là cái gì .
And so this approach holds for anything new that we do creatively .;Và thế là cách tiếp cận này vẫn tốt với bất cứ điều gì mới mẻ mà chúng ta làm một cách sáng tạo .
It might take a moment to load .;Có lẽ cần giây lát để chạy đoạn video .
If you think the display on the left is Swing and the display on the right is Jazz , clap your hands .;Nếu bạn nghĩ hình bên trái là Swing và hình bên phải là Jazz thì xin mời bạn vỗ tay
But what are we doing with it ?;Nhưng ta đang làm gì với nó vậy ?
To these non-engineers , littleBits became another material , electronics became just another material .;Đối với những người không phải kĩ sư , littleBits đã trở thành một dạng vật liệu khác , điện tử đã trở thành một vật liệu mới .
In the ' 70s -- well , beginning in the ' 60s -- Europe did lots of development projects .;trong những năm 70-- , à không , bắt đầu từ những năm 60-- Châu Âu thực hiện rất nhiều các dự án phát triển
But when something like this happens , things are qualitatively changing .;Nhưng khi điều này xảy ra , mọi thứ thay đổi một cách định tính .
We 're moving , we 're all moving here , to a world where the forces of nature come closer together to technology , and magic and technology can come closer together .;Chúng ta đang tiến tới , tất cả chúng ta đang tiến tới một thế giới nơi mà các sức mạnh tự nhiên đến gần hơn với công nghệ , và phép màu và công nghệ có thể tiến gần nhau hơn .
And it all connects us together into something that is much bigger and much faster and able to evolve than what we were before .;Và chúng đều liên kết chúng ta thành một cộng đồng lớn hơn nhanh hơn và có khả năng tiến hoá xa hơn chúng ta trước đây .
But really what they 're doing is they 're showing what 's possible with technology today .;Nhưng điều mà họ thực sự đang làm nhằm chứng tỏ mọi thứ đều có thể xảy ra trong xã hội công nghệ thông tin ngày nay .
So it 's feeding back on itself .;Và vì vậy , nó đang thúc đẩy chính bản thân nó .
So for my first question for you today : Are you guys ready to hear about the choice overload problem ?;Giờ là câu hỏi đầu tiên của ngày hôm nay , Bạn có sẵn sàng để nghe về vấn đề quá tải trong lựa chọn ?
That 's the system that we have .;Đó là hệ thống ta có .
And we built an iPad application .;Và chúng tôi xây dựng một ứng dụng trên iPad
What you find is the people who go from high choice to low choice , they 're hitting that default button over and over and over again .;Điều bạn tìm kiếm đó là mọi người đi từ sự lựa chọn nhiều xuống thấp hơn nọ đang nhấn nút " mặc định " tiếp và tiếp tục lần nữa .
The third technique : Categorization .;Kĩ thuật thứ 3 : Sự phân loại
We 're moving , we 're all moving here , to a world where the forces of nature come closer together to technology , and magic and technology can come closer together .;Chúng ta đang tiến tới , tất cả chúng ta đang tiến tới một thế giới nơi mà các sức mạnh tự nhiên đến gần hơn với công nghệ , và phép màu và công nghệ có thể tiến gần nhau hơn .
I 've tried looking at them and telling you how they work .;Tôi luôn cố gắng thăm dò chúng và chỉ cho bạn cách nó hoạt động .
And there they make great apps , they work with city staffers .;Ở đó , họ sẽ viết ra nhứng ứng dụng tuyệt vời , làm việc với đội ngũ nhân viên .
In the possibilities of linking together magic , the earth and technology , there are multiple possibilities .;Trong khả năng kết nối lại phép màu , trái đất và công nghệ , còn rất nhiều khả năng khác nữa .
The third technique : Categorization .;Kĩ thuật thứ 3 : Sự phân loại
We 're now using those programs to make much faster computers so that we 'll be able to run this process much faster .;Chúng ta đang sử dụng những chương trình ấy để tạo ra máy tính nhanh hơn để từ đó chúng ta có thể thực hiện quá trình nhanh hơn .
And then , so if you can just turn on the slide that 's on .;Tiếp theo , nếu bạn có thể bật trang báo cáo này lên .
Eight years ago when I was at the Media Lab , I started exploring this idea of how to put the power of engineers in the hands of artists and designers .;Tám năm trước khi tôi còn ở phòng nghiên cứu truyền thông , tôi đã khám phá ra ý tưởng đó là làm sao để đưa khả năng kĩ sư đến với nghệ sĩ và nhà thiết kế .
The idea behind littleBits is that it 's a growing library .;Ý tưởng đằng sau littleBits là xem nó như thể một dạng thư viện đang được phát triển .
There 's a guy in the I.T. department of the City of Honolulu who saw this app and realized that he could use it , not for snow , but to get citizens to adopt tsunami sirens .;Một anh chàng trong văn phòng công nghệ của thành phố Honolulu biết đến ứng dụng này và nhận ra rằng anh ta có thể sử dụng nó , không phải cho tuyết , mà để người dân định vị các đèn cảnh báo sóng thần .
So littleBits is open-source .;Thế nên littleBits là dự án mở .
This is my WiFi scale . It 's a very simple thing .;Đây là chiếc cân điện tử của tôi . Đó là một thiết bị rất đơn giản .
This is a map that grows and glows and becomes your navigation for the rest of the book .;Đây là một chiếc bản đồ tự phóng to ra và nhấp nháy sáng và nó vạch phương hướng cho bạn trong suốt phần còn lại của quyển sách .
It 's really a pretty amazing invention if you think about it .;Nếu bạn nghĩ về nó , bạn sẽ thấy đó là một phát minh hết sức vĩ đại .
